,NTA2020,airbnb_per_10k,NTAName,neighborhood_group_cleansed
0,BK0101,167.78,Greenpoint,Brooklyn
1,BK0102,222.05,Williamsburg,Brooklyn
2,BK0103,10.06,South Williamsburg,Brooklyn
3,BK0104,203.97,East Williamsburg,Brooklyn
4,BK0201,50.22,Brooklyn Heights,Brooklyn
5,BK0202,75.67,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn
6,BK0203,101.1,Fort Greene,Brooklyn
7,BK0204,166.51,Clinton Hill,Brooklyn
8,BK0301,159.21,Bedford-Stuyvesant (West),Brooklyn
9,BK0302,180.5,Bedford-Stuyvesant (East),Brooklyn
10,BK0401,151.3,Bushwick (West),Brooklyn
11,BK0402,152.78,Bushwick (East),Brooklyn
12,BK0501,37.22,Cypress Hills,Brooklyn
13,BK0502,39.24,East New York (North),Brooklyn
14,BK0503,26.04,East New York-New Lots,Brooklyn
15,BK0504,5.28,Spring Creek-Starrett City,Brooklyn
16,BK0505,15.58,East New York-City Line,Brooklyn
17,BK0601,78.76,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,Brooklyn
18,BK0602,79.96,Park Slope,Brooklyn
19,BK0701,69.0,Windsor Terrace-South Slope,Brooklyn
20,BK0702,45.34,Sunset Park (West),Brooklyn
21,BK0703,17.62,Sunset Park (Central),Brooklyn
22,BK0801,118.65,Prospect Heights,Brooklyn
23,BK0802,126.41,Crown Heights (North),Brooklyn
24,BK0901,56.73,Crown Heights (South),Brooklyn
25,BK0902,99.97,Prospect Lefferts Gardens-Wingate,Brooklyn
26,BK1001,32.04,Bay Ridge,Brooklyn
27,BK1002,4.06,Dyker Heights,Brooklyn
28,BK1101,7.24,Bensonhurst,Brooklyn
29,BK1102,8.47,Bath Beach,Brooklyn
30,BK1103,9.09,Gravesend (West),Brooklyn
31,BK1201,14.59,Sunset Park (East)-Borough Park (West),Brooklyn
32,BK1202,2.13,Borough Park,Brooklyn
33,BK1203,28.74,Kensington,Brooklyn
34,BK1204,3.32,Mapleton-Midwood (West),Brooklyn
35,BK1301,5.93,Gravesend (South),Brooklyn
36,BK1302,11.31,Coney Island-Sea Gate,Brooklyn
37,BK1303,18.17,Brighton Beach,Brooklyn
38,BK1401,49.02,Flatbush,Brooklyn
39,BK1402,45.8,Flatbush (West)-Ditmas Park-Parkville,Brooklyn
40,BK1403,14.37,Midwood,Brooklyn
41,BK1501,10.61,Gravesend (East)-Homecrest,Brooklyn
42,BK1502,11.58,Madison,Brooklyn
43,BK1503,13.75,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,Brooklyn
44,BK1601,104.08,Ocean Hill,Brooklyn
45,BK1602,15.21,Brownsville,Brooklyn
46,BK1701,63.75,East Flatbush-Erasmus,Brooklyn
47,BK1702,25.93,East Flatbush-Farragut,Brooklyn
48,BK1703,35.31,East Flatbush-Rugby,Brooklyn
49,BK1704,27.61,East Flatbush-Remsen Village,Brooklyn
50,BK1801,19.38,Flatlands,Brooklyn
